category,records,avg_of_avgs
Aksesuar Eklemeler,10,0.075
Aplike & Eklemeler,8,0.1
Baskı Teknikleri,16,0.140625
Bitim,12,0.03333333333333333
Bitim & Apre İşlemleri,8,0.11875
Dekoratif İşlemler,8,0.11875
Destek,6,0.005833333333333334
Destek Süreçler,6,0.0025
Dikim,34,0.01352941176470588
Kalite/Test,8,0.004375
Kaplama & Astar,6,0.15
Kesim,20,0.006750000000000001
Kontrol & Paketleme,16,0.007187499999999999
Kumaş & Malzeme Ön Hazırlık,8,0.003124999999999999
Lojistik Hazırlık,6,0.005833333333333334
Nakış & Süsleme,10,0.15
Numune,7,-0.45
Paketleme Malzemeleri,10,0.01
Parça Boyama,10,0.29
Parça Yıkama & Efektler,14,0.2428571428571429
Sıcak Transfer & Folyo,6,0.1
Taşlama & Eskitme,8,0.10625
Triyaj/Preparasyon,12,0.01791666666666667
Özel Efektler,8,0.1375
