Kategori,İşlem Türü,Açıklama,Uygulanan Ürün Grupları
Baskı Teknikleri,Serigrafi (Screen Print),"Klasik baskı tekniği; dayanıklı, çok renkli baskılar","Tişört, Sweatshirt, Çocuk Giyim"
Baskı Teknikleri,Rotasyon (Rotary Screen Print),Döner silindirle sürekli desen baskı,"Denim, Dış Giyim, Büyük parçalar"
Baskı Teknikleri,Dijital Baskı,Fotoğraf kalitesinde baskı,"Moda koleksiyonları, Premium tişört, Elbise"
Baskı Teknikleri,Sublimasyon,Polyester bazlı kumaşa transfer,"Spor giyim, Forma, Aktif giyim"
Baskı Teknikleri,Folyo (Foil) Baskı,Parlak metalik yüzey,"Kadın giyim, Moda, Aksesuar"
Baskı Teknikleri,Discharge (Açık Ekran) Baskı,Boya çıkarılarak desen oluşturma,"Tişört, Sweatshirt"
Baskı Teknikleri,Kabartma (Emboss) Baskı,3D yüzeyli desen,"Moda tişört, Özel koleksiyon"
Baskı Teknikleri,Sim / Glitter Baskı,Parıltılı efekt,Kadın & Çocuk giyim
Nakış & Süsleme,Direkt Nakış,Klasik nakış,"Polo, Gömlek, Şapka, Çocuk giyim"
Nakış & Süsleme,Aplike Nakış,Kumaş parçalarının işlenmesi,"Sweatshirt, Denim, Ceket"
Nakış & Süsleme,Chenille Nakış,Havlı ipliklerle dokulu nakış,"Kolej montu, Sweatshirt"
Nakış & Süsleme,3D Nakış,Kabartmalı nakış,"Spor şapka, Polo"
Nakış & Süsleme,Boncuklu / Taşlı Nakış,Dekoratif lüks nakış,"Kadın abiye, Özel koleksiyon"
Aplike & Eklemeler,Kumaş Aplike,Ek kumaş parçaları ile desen,"Denim jacket, Sweatshirt"
Aplike & Eklemeler,Patch / Arma,Dikişli veya yapıştırmalı arma,"Tişört, Denim, Spor giyim"
Aplike & Eklemeler,Laser-cut Aplike,Lazerle kesilmiş aplike,"Moda, Genç giyim"
Aplike & Eklemeler,PVC / PU Aplike,Sentetik aplike,"Spor giyim, Streetwear"
Parça Boyama,Garment Dye,Bitmiş ürünü boyama,"Tişört, Sweatshirt, Denim"
Parça Boyama,Dip Dye / Ombre,Kademeli renk geçişi,"Tişört, Elbise, Çocuk giyim"
Parça Boyama,Tie-Dye,"Batik, bağlama boyama","Moda trend, Çocuk, Festival giyim"
Parça Boyama,Spray Dye,Sprey efekt boyama,"Casual giyim, Denim"
Parça Boyama,Acid Wash Dye,Asit efektli boyama,"Denim, Sweatshirt"
Parça Yıkama & Efektler,Stone Wash,Taşla eskitme,"Denim, Casual giyim"
Parça Yıkama & Efektler,Enzim Wash,Enzimlerle yumuşatma,"Tişört, Sweatshirt, Denim"
Parça Yıkama & Efektler,Bleach Wash,Açık renk efekt,"Denim, Moda tişört"
Parça Yıkama & Efektler,Sand Wash,Kum aşındırma,"Denim, Casual"
Parça Yıkama & Efektler,Vintage Wash,Eskitilmiş görünüm,"Denim, Moda"
Parça Yıkama & Efektler,Destroyed / Ripped Wash,"Yırtık, parçalanmış efekt","Denim, Streetwear"
Parça Yıkama & Efektler,Snow Wash,Kar taneli desen efekti,"Denim, Moda"
Kaplama & Astar,PU / PVC Kaplama,Sentetik film kaplama,"Dış giyim, Çanta, Aksesuar"
Kaplama & Astar,Wax Kaplama,Balmumu kaplama,"Dış giyim, Denim"
Kaplama & Astar,Laminasyon,İki yüzeyin lamine edilmesi,"Teknik giyim, Dış giyim"
Taşlama & Eskitme,Kumlama (Sandblasting),Yüzey aşındırma,"Denim, İş giyim"
Taşlama & Eskitme,El Taşlama,Manuel eskitme,"Denim, Casual"
Taşlama & Eskitme,Lazer Eskitme,Lazerle desen/eskitme,"Denim, Moda"
Taşlama & Eskitme,Whiskers (Bıyık Efekti),Denim’de büküm çizgileri,"Denim pantolon, Ceket"
Bitim & Apre İşlemleri,Anti-Pilling Finish,Tüylenme önleyici,"Tişört, Sweatshirt"
Bitim & Apre İşlemleri,Su itici (Water-repellent) Finish,Su geçirmezlik,"Dış giyim, Outdoor"
Bitim & Apre İşlemleri,Parlak / Mat Kaplama,Yüzey görünümü değiştirir,"Moda, Aksesuar"
Bitim & Apre İşlemleri,Resin Finish,Sertlik / tutum kazandırır,"Denim, Dış giyim"
Sıcak Transfer & Folyo,Heat Transfer,Isıyla transfer desen,"Spor giyim, Tişört"
Sıcak Transfer & Folyo,Plastisol Transfer,Plastisol bazlı transfer baskı,"Spor giyim, Aktif giyim"
Sıcak Transfer & Folyo,PU / PVC Transfer,Plastik bazlı transfer,"Streetwear, Spor giyim"
Dekoratif İşlemler,Flock Baskı,Kadife efekt,"Tişört, Sweatshirt"
Dekoratif İşlemler,Kabartma (Emboss/Deboss),Yüzey kabartma / çökertme,"Moda, Premium giyim"
Dekoratif İşlemler,Lazer Kesim,Desen kesim,"Denim, Streetwear"
Dekoratif İşlemler,Burn-out (Yanık),Kumaşın bir kısmını yakarak desen,"Moda, Premium, Casual"
Aksesuar Eklemeler,Studs (Zımbalar),Metal dekor,"Denim, Streetwear, Aksesuar"
Aksesuar Eklemeler,Rivet,Metal perçin,"Denim, Çanta, Ceket"
Aksesuar Eklemeler,Boncuk / Payet,Dekoratif ekleme,"Kadın abiye, Çocuk"
Aksesuar Eklemeler,Taş Yapıştırma,"Kristal, taş, strass","Kadın giyim, Moda"
Aksesuar Eklemeler,"Zincir, Metal Detay",Dekoratif metal,"Denim, Streetwear"
Özel Efektler,Metalik Kaplama,Altın / gümüş görünüm,"Moda, Premium"
Özel Efektler,UV Reactive Baskı,Işık altında renk değiştirir,"Streetwear, Moda"
Özel Efektler,Glow-in-the-Dark,Karanlıkta parlayan efekt,"Çocuk giyim, Spor giyim"
Özel Efektler,Holografik Transfer,Hologram görünümlü desen,"Moda, Genç giyim"
